id,기준_년_코드,기준_분기_코드,상권_구분_코드_명,상권_코드_명,서비스_업종_코드_명,분기당_매출_금액,점포수
13990,2014,1,골목상권,화곡로3길,자동차미용,4000000,1
14005,2014,1,골목상권,신목로5길,피부관리실,8261095,3
14021,2014,1,골목상권,오목로30길,화초,882353,1
14051,2014,1,골목상권,목동중앙로3길,서적,99711424,2
14157,2014,1,골목상권,남부순환로88길,문구,111742642,3
14172,2014,1,골목상권,목동로19길,운동/경기용품,3600000,1
14202,2014,1,골목상권,목동중앙남로3가길,골프연습장,51095495,2
14221,2014,1,골목상권,남부순환로58길,커피-음료,2126972,2
14236,2014,1,골목상권,목동로9길,스포츠클럽,1577197,2
14240,2014,1,골목상권,남부순환로88길,중식음식점,91908115,1
14247,2014,1,골목상권,남부순환로88길,호프-간이주점,5439691,1
14250,2014,1,골목상권,남부순환로88길,예술학원,89033925,5
14254,2014,1,골목상권,남부순환로88길,미용실,86347675,6
14268,2014,1,골목상권,화곡로13길,PC방,23270213,2
14308,2014,1,골목상권,목동중앙서로7길,자동차수리,28250633,1
14510,2014,1,전통시장,월정로시장,일반의원,135993054,1
14526,2014,1,골목상권,남부순환로88길,일반교습학원,1112831746,11
14561,2014,1,전통시장,신영시장,스포츠 강습,55242795,4
14603,2014,1,골목상권,지양로7길,예술학원,3262839,4
14634,2014,1,골목상권,남부순환로88길,서적,7123718,1
14639,2014,1,골목상권,남부순환로40길,핸드폰,240489622,3
14655,2014,1,골목상권,곰달래로3길,일반의원,183764679,1
14661,2014,1,골목상권,곰달래로3길,일식음식점,19064648,1
14664,2014,1,골목상권,남부순환로79길,제과점,6587785,4
14666,2014,1,골목상권,중앙로47길,세탁소,8293447,3
14668,2014,1,골목상권,남부순환로79길,화장품,28680212,5
14695,2014,1,골목상권,남부순환로40길,네일숍,25316463,1
14696,2014,1,골목상권,남부순환로40길,인테리어,19263456,3
14698,2014,1,골목상권,곰달래로3길,청과상,7768840,2
14702,2014,1,골목상권,곰달래로3길,스포츠클럽,24526683,1
