id,기준_년_코드,기준_분기_코드,상권_구분_코드_명,상권_코드_명,서비스_업종_코드_명,분기당_매출_금액,점포수
7767,2014,1,골목상권,여의대방로35길,일반교습학원,204623833,4
7771,2014,1,골목상권,여의대방로39길,호프-간이주점,34816803,9
7779,2014,1,골목상권,대림로44길,인테리어,15752116,1
7782,2014,1,골목상권,여의대방로35길,자동차부품,81504499,2
7797,2014,1,전통시장,영진시장A동,육류판매,940024049,4
7800,2014,1,전통시장,영진시장A동,인테리어,1781956,1
7804,2014,1,골목상권,여의대방로35길,운동/경기용품,1143930759,1
7815,2014,1,골목상권,여의대방로61길,호프-간이주점,217485446,2
7822,2014,1,골목상권,경인로77길,당구장,28070086,4
7828,2014,1,골목상권,경인로77길,편의점,455204619,2
7831,2014,1,골목상권,경인로80길,서적,343370894,1
7838,2014,1,골목상권,경인로80길,자동차수리,46986134,1
7843,2014,1,골목상권,대림로8길,커피-음료,40999653,1
7846,2014,1,골목상권,대림로8길,핸드폰,32565036,3
7850,2014,1,골목상권,대림로8길,육류판매,6367218,3
7860,2014,1,골목상권,여의대방로43나길,자동차미용,7218716,1
7863,2014,1,골목상권,여의대방로43나길,자전거 및 기타운송장비,24651076,1
7867,2014,1,골목상권,여의대방로43나길,주유소,2367142099,1
7870,2014,1,골목상권,여의대방로43나길,치킨전문점,117857600,3
7875,2014,1,골목상권,여의대방로39길,운동/경기용품,49486410,2
7894,2014,1,골목상권,신길로17길,스포츠 강습,12841035,1
7898,2014,1,골목상권,신길로17길,의약품,1757002,2
7901,2014,1,전통시장,우리시장,육류판매,504333715,6
7906,2014,1,전통시장,우리시장,화장품,59171216,2
7909,2014,1,골목상권,신길로17길,육류판매,587114522,2
7913,2014,1,골목상권,신길로17길,청과상,207610998,3
7932,2014,1,골목상권,디지털로57길,한식음식점,270480405,11
7935,2014,1,골목상권,디지털로57길,중식음식점,471371641,24
7940,2014,1,골목상권,디지털로57길,의료기기,117749959,1
7943,2014,1,골목상권,디지털로37길,편의점,355276833,2
7947,2014,1,골목상권,디지털로37길,가구,4900469,1
7950,2014,1,골목상권,디지털로57길,핸드폰,1404857,14
7956,2014,1,골목상권,디지털로57길,사진관,8699034,1
7959,2014,1,골목상권,디지털로37길,철물점,12197692,2
7963,2014,1,전통시장,대림중앙시장,미용실,11273676,3
7966,2014,1,골목상권,대림로29길,부동산중개업,2790699,20
7971,2014,1,골목상권,대림로29길,서적,18111560,2
7974,2014,1,골목상권,대림로7길,핸드폰,2458501,9
7978,2014,1,골목상권,대림로7길,여관,12311889,4
7991,2014,1,골목상권,대림로29길,골프연습장,99030872,3
7995,2014,1,골목상권,대림로29길,피부관리실,52886366,2
8006,2014,1,골목상권,신길로60길,청과상,4226344,1
8010,2014,1,골목상권,신길로60길,패스트푸드점,74630743,1
8019,2014,1,골목상권,영신로9길,치과의원,58886736,2
8022,2014,1,골목상권,도신로29길,슈퍼마켓,602894767,2
8026,2014,1,골목상권,도림로112길,노래방,13273729,2
